datetime;total_votes;pavelomg;DrumBox;Dirtylieutenant;kamutahirovata;rockamark;megalomaniac;Zabava;mvgolubev;Lay_Lady_Lay;Palad1n
2019-12-25 06:06:58;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:07:59;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:08:59;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:09:58;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:10:59;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:11:59;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:12:59;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:13:58;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:14:59;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:15:59;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:16:58;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:17:59;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:18:58;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:19:59;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:20:59;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:22:00;50;0;10;7;2;5;3;5;2;2;3
2019-12-25 06:22:58;50;0;10;7;2;5;3;5;2;2;3
