datetime;total_votes;tutabrain;rockamark;pupsique;markII;Есения;NoEndOutcry;XASSA;kilogramm;kotophalk;wintercyclone
2019-05-15 05:55:59;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:56:58;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:57:59;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:58:59;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 05:59:59;33;0;8;5;2;0;0;1;3;0;3
2019-05-15 06:00:58;34;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:01:59;34;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:02:58;34;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:03:59;34;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:04:58;34;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:05:59;34;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:06:59;34;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:07:58;34;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:08:59;34;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:09:59;34;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:10:58;34;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:11:59;34;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:12:58;34;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:13:59;35;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:14:59;35;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:15:58;35;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:16:59;35;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:17:58;35;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:18:59;35;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:19:59;35;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:20:58;35;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:21:59;35;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:22:59;35;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:23:58;35;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:24:59;35;0;8;5;2;0;0;2;3;1;3
2019-05-15 06:25:59;35;0;8;5;2;0;0;2;3;1;3
