datetime;total_votes;Yardrey;vdzrd;jovan;maria_ego;KOCTOPE3;Z-L-O;Есения;XASSA;ZevB3K;brammator
2018-12-19 05:55:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 05:56:58;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 05:57:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 05:58:58;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 05:59:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:00:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:01:58;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:02:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:03:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:04:58;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:05:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:06:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:07:58;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:08:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:09:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:10:58;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:11:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:12:58;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:13:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:14:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:15:58;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:16:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:17:58;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:18:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:19:59;49;10;9;8;0;2;3;4;0;1;0
2018-12-19 06:20:58;50;10;10;8;0;2;3;4;0;1;0
2018-12-19 06:21:59;50;10;10;8;0;2;3;4;0;1;0
2018-12-19 06:22:58;50;10;10;8;0;2;3;4;0;1;0
2018-12-19 06:23:59;50;10;10;8;0;2;3;4;0;1;0
2018-12-19 06:24:59;50;10;10;8;0;2;3;4;0;1;0
2018-12-19 06:25:58;50;10;10;8;0;2;3;4;0;1;0
