datetime;total_votes;xromota;1917;KOCTOPE3;paramed;nzr;Schopenhauer;kiLstrom;bf6;Salt;Hexadecachoron
2019-11-27 08:10:59;52;14;13;1;0;2;3;3;0;0;0
2019-11-27 08:11:58;52;14;13;1;0;2;3;3;0;0;0
2019-11-27 08:12:59;53;14;14;1;0;2;3;3;0;0;0
2019-11-27 08:13:59;53;14;14;1;0;2;3;3;0;0;0
2019-11-27 08:14:58;53;14;14;1;0;2;3;3;0;0;0
2019-11-27 08:15:59;53;14;14;1;0;2;3;3;0;0;0
2019-11-27 08:16:59;53;14;14;1;0;2;3;3;0;0;0
2019-11-27 08:17:58;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:18:59;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:19:59;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:20:59;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:21:59;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:22:58;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:23:59;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:24:59;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:25:58;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:26:59;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:27:59;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:28:58;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:29:59;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:30:59;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:31:59;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:32:58;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:33:59;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:34:59;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:35:58;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:36:59;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:37:59;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:38:58;54;14;14;1;0;2;3;4;0;0;0
2019-11-27 08:39:59;54;14;14;1;0;2;3;4;0;0;0
