datetime;total_votes;thaisia_b;Есения;pupsique;Wiedemann;Terkin;voklo;Bf109H;XASSA;uisky;akuaku
2019-06-05 04:42:59;47;6;9;0;3;4;9;6;0;3;0
2019-06-05 04:43:58;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 04:44:59;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 04:45:59;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 04:46:58;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 04:47:59;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 04:48:59;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 04:49:58;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 04:50:59;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 04:51:58;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 04:52:59;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 04:53:58;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 04:54:59;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 04:55:59;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 04:56:58;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 04:57:59;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 04:58:59;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 04:59:58;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 05:00:59;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 05:01:59;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 05:02:58;48;6;9;0;4;4;9;6;1;3;0
2019-06-05 05:03:59;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:04:59;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:05:58;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:06:59;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:07:59;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:08:58;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:09:59;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:10:59;49;6;10;0;4;4;9;6;1;3;0
