datetime;total_votes;Shambala;daruta;pupsique;kilogramm;UncleDre;kuznet;Есения;norpo;mama_p_zh;brammator
2019-03-06 05:37:59;52;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:38:58;53;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:39:59;53;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:40:58;53;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:41:59;53;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:42:59;53;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:43:58;53;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:44:59;53;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:45:58;53;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:46:59;53;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:47:59;53;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:48:58;53;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:49:59;53;19;9;0;4;0;2;0;3;1;0
2019-03-06 05:50:59;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 05:51:58;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 05:52:59;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 05:53:58;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 05:54:59;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 05:55:59;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 05:56:58;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 05:57:59;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 05:58:58;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:00:00;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:00:58;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:01:59;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:02:58;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:03:59;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:04:59;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:05:58;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:06:59;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:07:59;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:08:58;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:09:59;54;20;9;0;4;0;2;0;3;1;0
